Il sistema elettorale denominato “porcellum”, prima della dichiarazione di incostituzionalità parziale, prevedeva|una formula proporzionale a liste, o coalizioni di liste, concorrenti|clausole di sbarramento diversamente articolare|un premio di maggioranza in favore della lista, o coalizione di liste, che avesse ottenuto la maggioranza relativa dei voti validi|tutte le precedenti affermazioni sono corrette|4|2
La forma di governo parlamentare è caratterizzata|dalla sussistenza del rapporto di fiducia tra Parlamento e Governo|da una separazione dei poteri tra esecutivo e legislativo|dalla presenza di un direttorio, retto dal principio collegiale|tutte le precedenti affermazioni sono corrette|1|2
Le fonti del diritto si distinguono in|fonti di produzione|fonti sulla produzione|fonti di cognizione|tutte le precedenti affermazioni sono corrette|4|3
In senso oggettivo, sono fonti di produzione|gli atti che permettono di conoscere l’esistenza e il contenuto delle fonti|gli atti normativi che, in quanto tali, compongono l’ordinamento giuridico, introducendo nuove norme giuridiche o modificando le preesistenti|le fonti che individuano i soggetti a cui l’ordinamento giuridico conferisce la potestà di adottare gli atti normativi e il modo di produzione degli atti normativi|tutte le precedenti affermazioni sono corrette|2|3
Sono fonti sulla produzione|gli atti che permettono di conoscere l’esistenza e il contenuto delle fonti|gli atti normativi che, in quanto tali, compongono l’ordinamento giuridico, introducendo nuove norme giuridiche o modificando le preesistenti|le fonti che individuano i soggetti a cui l’ordinamento giuridico conferisce la potestà di adottare gli atti normativi e il modo di produzione degli atti normativi|tutte le precedenti affermazioni sono corrette|3|3
Sono fonti di cognizione|gli atti che permettono di conoscere l’esistenza e il contenuto delle fonti di produzione|gli atti normativi che, in quanto tali, compongono l’ordinamento giuridico, introducendo nuove norme giuridiche o modificando le preesistenti|le fonti che individuano i soggetti a cui l’ordinamento giuridico conferisce la potestà di adottare gli atti normativi e il modo di produzione degli atti normativi|tutte le precedenti affermazioni sono corrette|1|3
L’atto normativo entra in vigore, di regola, 15 giorni dopo|la pubblicazione|la promulgazione o l’emanazione|l’approvazione|nessuna delle precedenti affermazioni è corretta|1|3
Per gli atti normativi statali, la pubblicazione ufficiale ha luogo|nella Gazzetta ufficiale dell’Unione europea|nella Gazzetta ufficiale|nel Bollettino ufficiale|nell’albo pretorio|2|3
Il nostro sistema delle fonti, come quello di ogni comunità politica, è caratterizzato da una pluralità di fonti diverse, per ordinare le quali soccorre|il criterio gerarchico|il criterio della competenza|il criterio cronologico|tutte le precedenti affermazioni sono corrette|4|3
Sono fonti di livello superprimario|i regolamenti ministeriali|le leggi di revisione della Costituzione e le leggi costituzionali|le leggi ordinarie e gli atti equiparati|i regolamenti governativi, regionali e locali|2|3
Sono fonti di livello primario|i regolamenti ministeriali|le leggi di revisione della Costituzione e le leggi costituzionali|le leggi ordinarie e gli atti equiparati|i regolamenti governativi, regionali e locali|3|3
Sono fonti di livello secondario|i regolamenti governativi|i regolamenti regionali|i regolamenti locali|tutte le precedenti affermazioni sono corrette|4|3
Sono fonti di livello subsecondario|i regolamenti ministeriali|i regolamenti governativi|i regolamenti parlamentari|tutte le precedenti affermazioni sono corrette|1|3
Secondo il criterio della competenza, nel sistema delle fonti|prevale la fonte competente sulla fonte incompetente, comportandone l’illegittimità|prevale la fonte competente sulla fonte incompetente comportandone l’abrogazione|la fonte di grado superiore prevale sulla precedente contrastante, comportandone l’abrogazione|la fonte di grado superiore prevale sulla precedente contrastante, comportandone l’illegittimità|1|3
Secondo il criterio cronologico|la fonte successiva nel tempo prevale sulla precedente, comportandone l’abrogazione|la fonte successiva nel tempo prevale sulla precedente, comportandone l’illegittimità|la fonte di grado inferiore prevale sulla precedente comportandone l’abrogazione|nessuna delle precedenti affermazioni è corretta|1|3
Una disposizione abrogata|continua ad essere applicata (anche successivamente alla abrogazione) ai fatti accaduti successivamente alla sua abrogazione|continua ad essere applicata anche ai fatti accaduti successivamente alla sua abrogazione|cessa di essere applicata anche ai fatti accaduti precedentemente alla sua abrogazione|nessuna delle precedenti affermazioni è corretta|1|3
L’abrogazione può essere|espressa|tacita|implicita|tutte le precedenti affermazioni sono corrette|4|3
L’interpretazione giurisprudenziale è adottata|dal legislatore|dal giudice|dal giurista|dal governo|2|3
L’interpretazione autentica è adottata|dal legislatore|dal giudice|dal giurista|dalla Corte costituzionale|1|3
L’applicazione del criterio della specialità comporta che|la norma generale sia derogata dalla speciale|la norma speciale abroghi quella generale|la norma generale non sia applicata in quanto invalida|tutte le precedenti affermazioni sono corrette|1|3
Il procedimento di revisione costituzionale è aggravato|dalla doppia deliberazione di ciascuna Camera a intervallo non minore di tre mesi|da una maggioranza speciale nella seconda deliberazione di ciascuna Camera|dall’eventuale richiesta di un referendum approvativo|tutte le precedenti affermazioni sono corrette|4|3
L’unico limite esplicito al potere di revisione costituzionale, indicato nell’art. 139 Cost., riguarda il divieto di revisione|della forma repubblicana|del principio di uguaglianza|del principio democratico|dell’unità e dell’indivisibilità della repubblica|1|3
Ѐ una fase del procedimento di formazione della legge|l’iniziativa|l’approvazione|la promulgazione|tutte le precedenti affermazioni sono corrette|4|3
La legge di delegazione deve necessariamente contenere|gli oggetti definiti|i princìpi e i criteri direttivi|il tempo limitato|tutte le precedenti affermazioni sono corrette|4|3
Il testo unico può essere|compilativo|innovativo|meramente compilativo|tutte le precedenti affermazioni sono corrette|4|3
Ѐ innovativo il testo unico che|introduce, anche solo in parte, una nuova regolamentazione della materia|adempie ad una mera funzione di coordinamento formale|è adottato con atto non normativo ovvero con atto normativo subordinato alle fonti in esso raccolte|nessuna delle precedenti affermazioni è corretta|1|3
Ѐ compilativo il testo unico che|introduce, anche solo in parte, una nuova regolamentazione della materia|adempie ad una era funzione di coordinamento formale di tutti gli atti normativi adottati in precedenza su quella stessa materia|è adottato con atto non normativo ovvero con atto normativo subordinato alle fonti in esso raccolte|nessuna delle precedenti affermazioni è corretta|2|3
Ѐ meramente compilativo il testo unico che|introduce, anche solo in parte, una nuova regolamentazione della materia|adempie ad una mera funzione di coordinamento formale|è adottato con atto non normativo ovvero con atto normativo subordinato alle fonti in esso raccolte|nessuna delle precedenti affermazioni è corretta|3|3
Il Governo è legittimato all’adozione del decreto- legge qualora|si verifichino casi straordinari|vi sia necessità di provvedere|vi sia l’urgenza di provvedere|tutte le precedenti affermazioni sono corrette|4|3
Il procedimento di conversione in legge del decreto ex art. 77 Cost. consiste|nella presentazione di un disegno di legge, di iniziativa governativa, di conversione in legge del decreto legge|nella mera comunicazione alle Camere, durante la prima seduta di ciascuna di esse successiva all’entrata in vigore del decreto-legge per il tramite del Ministro per i rapporti con il Parlamento, affinché uno o più parlamentari predispongano gli opportuni provvedimenti|nella richiesta ai parlamentari dei gruppi di maggioranza di presentare un disegno di legge di conversione|nessuna delle precedenti affermazioni è corretta|1|3
Il referendum abrogativo può essere richiesto|da cinquecentomila elettori|dal Consiglio dei ministri|dalla Corte costituzionale|tutte le precedenti affermazioni sono corrette|1|3
Il giudizio di ammissibilità del referendum è di competenza|del Ministro dell’interno|del Presidente del Consiglio dei ministri|dell’Ufficio centrale per il referendum|della Corte Costituzionale|4|3
Il riparto delle competenze legislative tra Stato e Regioni, ex art.117 Cost., prevede|una competenza legislativa esclusiva statale, nelle sole materie nominate dal comma 2|una competenza legislativa concorrente, tra Stato e Regioni, nelle sole materie espressamente nominate nel comma 3 e nell’art. 122, comma 1, Cost.|una competenza legislativa residuale regionale su ogni altra materia innominata, non espressamente riservata allo Stato (comma 4)|tutte le precedenti affermazioni sono corrette|4|3
Sono norme del diritto internazionale generalmente riconosciute|le consuetudini internazionali|i princìpi generali dell’ordinamento internazionale|le norme di diritto comune alla generalità dei membri della comunità internazionale|tutte le precedenti affermazioni sono corrette|4|3
L’adattamento del diritto nazionale al diritto internazionale generalmente riconosciuto avviene|in modo automatico, ex art.10 Cost.|solo attraverso l’ordine di esecuzione che rinvia al trattato allegato|per mezzo di un procedimento ad hoc, consistente nell’adozione di un atto normativo che detta le norme a tal fine necessarie ovvero contiene l’ordine di esecuzione che rinvia al trattato stesso allegato|nessuna delle precedenti affermazioni sono corrette|2|3
Tra le fonti comunitarie derivate, il regolamento|ha portata generale, è obbligatorio in tutti i suoi elementi ed è direttamente applicabile nello Stato membro|non è direttamente applicabile, perché vincola lo Stato membro cui è rivolto riguardo al risultato da raggiungere entro un termine indicato dallo stesso|è obbligatorio in tutti i suoi elementi e quando designa i destinatari è obbligatorio soltanto nei confronti di questi|tutte le precedenti affermazioni sono corrette|1|3
Tra le fonti comunitarie derivate, la direttiva|ha portata generale, è obbligatoria in tutti i suoi elementi ed è direttamente applicabile allo Stato membro|non è direttamente applicabile, perché vincola lo Stato membro cui è rivolta riguardo al risultato da raggiungere entro un termine indicato nella stessa|è obbligatoria in tutti i suoi elementi e quando designa i destinatari è obbligatoria soltanto nei confronti di questi|tutte le precedenti affermazioni sono corrette|2|3
Tra le fonti comunitarie derivate, la decisione|ha portata generale, è obbligatoria in tutti i suoi elementi ed è direttamente applicabile nello Stato membro|non è direttamente applicabile, perché vincola lo Stato membro cui è rivolta riguardo al risultato da raggiungere entro un termine indicato nella stessa|è obbligatoria in tutti i suoi elementi e quando designa destinatari è obbligatoria soltanto nei confronti di questi|tutte le precedenti affermazioni sono corrette|3|3
Il bicameralismo si dice “perfetto” quando le due Camere sono|di composizione omogenea ed esercitano funzioni analoghe|di composizione identica ed esercitano le stesse funzioni|di composizione diversa ed esercitano funzioni diverse|nessuna delle precedenti affermazioni è corretta|1|4
La Camera dei Deputati|consta di 630 membri elettivi|consta di 630 membri elettivi e 5 nominati dal Presidente della Repubblica|è eletta a base regionale|nessuna delle precedenti affermazioni è corretta|1|4
Il Senato della Repubblica|consta di 315 membri elettivi|consta di 5 senatori a vita nominati dal Presidente della Repubblica (oltre agli ex-PdR, membri di diritto)|è eletto a base regionale|tutte le precedenti affermazioni sono corrette|4|4
Le due Camere differiscono|per l’elettorato attivo|per l’elettorato passivo|per la circostanza che il Senato è eletto a base regionale|tutte le precedenti affermazioni sono corrette|4|4
L’art.48 Cost. attribuisce, in via generale, la capacità elettorale attiva|a tutti i cittadini italiani, uomini e donne, che abbiano raggiunto la maggiore età|che siano in regola con il pagamento delle imposte (i.e. tasse)|che abbiano un livello di istruzione non inferiore alla licenza media inferiore (oggi, scuola secondaria di primo grado)|tutte le precedenti affermazioni sono corrette|1|4
Per la capacità elettorale passiva, oltre alla sussistenza dei requisiti di capacità elettorale attiva, è richiesta|la mancanza di cause di ineleggibilità e di incompatibilità|l’età minima di 25 anni per l’elezione a Deputato|l’età minima di 40 anni per l’elezione a Senatore|tutte le precedenti affermazioni sono corrette|4|4
La “proroga” delle Camere consiste|nel prolungamento della durata della legislatura in caso di guerra|nel periodo intercorrente tra la fine di una legislatura e l’inizio della successiva|nel complesso di poteri che le Camere uscenti esercitano fino alla prima riunione delle nuove|nessuna delle precedenti affermazioni è corretta|1|4
La prorogatio delle Camere si ha|solo in caso di guerra|solo in casi eccezionali di necessità ed urgenza|a seguito dello scioglimento anticipato o della scadenza naturale delle stesse|tutte le precedenti affermazioni sono corrette|3|4
sLa garanzia dell’insindacabilità del Parlamentare ex art. 68 Cost. tutela il parlamentare|per il solo periodo di durata del mandato|solo in sede penale|per le opinioni espresse e i voti dati nell’esercizio delle funzioni parlamentari|tutte le precedenti affermazioni sono corrette|3|4
L’autorizzazione della Camera di appartenenza è necessaria per sottoporre il parlamentare|a perquisizione personale o domiciliare|a intercettazioni, in qualsiasi forma, di conversazioni o comunicazioni|a sequestro di corrispondenza|tutte le precedenti affermazioni sono corrette|4|4
Sono organi interni di ciascuna Camera|i gruppi parlamentari|le commissioni parlamentari|le giunte|tutte le precedenti affermazioni sono corrette|4|4
Il Presidente della Camera dei Deputati|è nominato dal Presidente della Repubblica|sostituisce il Presidente della Repubblica in caso di impedimento|è eletto dall’assemblea tra i suoi membri|nessuna delle precedenti affermazioni è corretta|3|4
La maggioranza semplice consiste nella|metà più uno dei votanti, esclusi gli astenuti|metà più uno dei votanti, computando gli astenuti|metà più uno dei componenti il collegio|nessuna delle precedenti affermazioni è corretta|2|4
Il Parlamento si riunisce in seduta comune|per l’elezione di un terzo dei membri della Corte Costituzionale|per la messa in stato d’accusa del Presidente del Consiglio dei ministri|per le votazioni sui disegni di legge di revisione costituzionale|tutte le precedenti affermazioni sono corrette|1|4
Il Parlamento si riunisce in seduta comune|per l’elezione e il giuramento del Presidente della Repubblica|per l’elezione di un terzo dei componenti del Consiglio superiore della magistratura|per l’elezione di un terzo dei membri della Corte Costituzionale|tutte le precedenti affermazioni sono corrette|4|4
Nel procedimento ordinario di formazione della legge, la Commissione opera|in sede referente|in sede redigente|in sede deliberante|nessuna delle precedenti affermazioni è corretta|1|4
L’iniziativa legislativa spetta|al Governo|a cinquantamila elettori|al Consiglio Nazionale dell’Economia e del Lavoro, in materia economica e sociale|tutte le precedenti risposte sono corrette|4|4
Ѐ strumento di indirizzo politico di ciascuna Camera|la mozione|la risoluzione|l’ordine del giorno|tutte le precedenti affermazioni sono corrette|4|4
Secondo l’art.92, comma 1, Cost., è organo necessario del Governo|il Presidente del Consiglio|i Ministri|il Consiglio dei Ministri|tutte le precedenti affermazioni sono corrette|4|5
Il Presidente del Consiglio dei Ministri|dirige la politica generale del Governo e ne è responsabile|nomina i Ministri|presiede il Consiglio Superiore della Magistratura|tutte le precedenti affermazioni sono corrette|1|5
Il Presidente del Consiglio dei ministri|è eletto a suffragio universale e diretto|determina la politica generale del Governo|presiede il Consiglio Superiore della Magistratura|nessuna delle precedenti affermazioni è corretta|4|5
I Ministri sono responsabili|collegialmente degli atti del Consiglio dei Ministri e individualmente degli atti dei loro dicasteri|solo, individualmente, degli atti dei loro dicasteri|solo, collegialmente, degli atti del Consiglio dei Ministri|nessuna delle precedenti affermazioni è corretta|1|5
I Ministri del Governo Italiano|sono revocabili dal Presidente del Consiglio|possono essere oggetto di sfiducia individuale da parte delle Camere|sono giuridicamente irresponsabili|tutte le precedenti risposte sono corrette|2|5|Sono organi non necessari del Governo|i ministri senza portafoglio|i vice-ministri|i Sottosegretari di Stato|tutte le precedenti affermazioni sono corrette|4|5
I Sottosegretari di Stato|coadiuvano il ministro|esercitano i compiti a essi delegati con decreto ministeriale|possono intervenire, quali rappresentanti del Governo, alle sedute delle Camere e delle Commissioni parlamentari|tutte le precedenti affermazioni sono corrette|4|5
Le consultazioni svolte dal Presidente della Repubblica nella fase preliminare di formazione del Governo|sono disciplinate espressamente dalla Costituzione|sono rette da prassi e consuetudini costitutizionali|sono disciplinate dalla legge|nessuna delle precedenti affermazioni è corretta|2|5
Al termine delle consultazioni, il Presidente della Repubblica può|conferire un mandato esplorativo o un preincarico|conferire l’incarico di formare il Governo|procedere con lo scioglimento delle Camere|tutte le precedenti affermazioni sono corrette|4|5
La persona a cui il PdR voglia dare l’incarico di formare il nuovo Governo|può accettare con riserva|può rifiutare l’incarico|può accettare senza riserva (nel caso in cui sia già in grado di fornire la lista dei ministri|tutte le precedenti affermazioni sono corrette|4|5
Quando il Presidente del Consiglio incaricato accetta l’incarico, il Presidente della Repubblica adotta contestualmente|il decreto di nomina del nuovo Presidente del Consiglio|i decreti di nomina dei singoli Ministri|il decreto di accettazione delle dimissioni del Presidente del Consiglio uscente|tutte le precedenti affermazioni sono corrette|4|5
Il Governo di nuova nomina assume le funzioni|con l’accettazione dell’incarico da parte del nuovo Presidente del Consiglio|con il giuramento nelle mani del Presidente della Repubblica|con la fiducia da parte delle Camere|nessuna delle precedenti affermazioni è corretta|2|5
Il voto contrario di una Camera su di una proposta del Governo|comporta l’obbligo delle dimissioni del Ministro proponente|comporta l’obbligo delle dimissioni dell’intero Governo|non comporta l’obbligo di dimissioni|nessuna delle precedenti affermazioni è corretta|3|5
Il Governo ha l’obbligo di dimettersi quando|le Camere respingono un disegno di legge di iniziativa governativa|anche una sola Camera approva una mozione di sfiducia|le Camere negano la conversione di un decreto-legge|nessuna delle precedenti affermazioni è corretta|2|5
La giurisdizione a giudicare dei reati ministeriali spetta|alla Camera dei Deputati|alla magistratura ordinaria|alla Corte Costituzionale|nessuna delle precedenti affermazioni è corretta|2|5
Il principio della soggezione del giudice soltanto alla legge, ex art. 101 Cost., costituisce il fondamento|della indipendenza del potere giudiziario da ogni altro Potere (indipendenza esterna|dell’indipendenza interna del giudice, in quanto, in linea di principio, non è vincolato alle decisioni degli altri giudici|della legittimazione democratica del potere giurisdizionale|tutte le precedenti affermazioni sono corrette|4|6
Il Consiglio Superiore della Magistratura è l’organo di garanzia dell’indipendenza|della sola magistratura ordinaria|della sola magistratura straordinaria|anche delle magistrature speciali|nessuna delle precedenti affermazioni è corretta|1|6
Ѐ membro di diritto del CSM|il Presidente della Repubblica|il Primo Presidente della Corte di Cassazione|il Procuratore generale presso la Corte di cassazione|tutte le precedenti affermazioni sono corrette|4|6
Il CSM è presieduto dal|Presidente della Repubblica|Presidente del Consiglio dei Ministri|Ministro della giustizia|nessuna delle precedenti affermazioni è corretta|1|6
Sono di competenza del CSM|le assunzioni e le assegnazioni dei magistrati ordinari|i trasferimenti e le promozioni dei magistrati ordinari|i provvedimenti disciplinari nei confronti dei magistrati ordinari|tutte le precedenti affermazioni sono corrette|4|6
Il CSM è composto da|tre membri di diritto|sedici membri elettivi (cd togati)|otto membri elettivi (cd laici)|tutte le precedenti affermazioni sono corrette|4|6
I membri “laici” del CSM sono eletti|dal Parlamento in seduta comune|dal Governo|dal Presidente della Repubblica|nessuna delle precedenti affermazioni è corretta|1|6
I provvedimenti che riguardano lo status dei magistrati sono impugnabili|dinanzi al giudice amministrativo|dinanzi la Corte di Cassazione|dinanzi al Parlamento in seduta comune|nessuna delle precedenti affermazioni è corretta|1|6
La competenza ad accettare la commissione di illeciti disciplinari dei magistrati ordinari e a irrogare le relative sanzioni spetta|al Consiglio Superiore della Magistratura|al Ministro della Giustizia|al Tribunale amministrativo regionale e, in appello al Consiglio di Stato|nessuna delle precedenti affermazioni è corretta|1|6
La titolarità dell’azione disciplinare nei confronti dei magistrati ordinari è attribuita|disgiuntamente, al Ministro della giustizia e al Procuratore generale presso la Corte di cassazione|al solo Ministro della Giustizia|al solo Procuratore generale presso la Corte di cassazione|nessuna delle precedenti affermazioni è corretta|1|6
Al Ministro della Giustizia spetta|l’organizzazione dei servizi relativi alla giustizia|il funzionamento dei servizi relativi alla giustizia|la facoltà di promuovere l’azione disciplinare|tutte le precedenti affermazioni sono corrette|4|6
Il reclutamento dei magistrati avviene di regola|tramite pubblico concorso|mediante elezione da parte dei cittadini|mediante nomina da parte del Governo|nessuna delle precedenti affermazioni è corretta|1|6
Il magistrato è inamovibile salvo provvedimento adottato|dal Ministro della Giustizia|in determinati casi, dal CSM|dal Consiglio dei Ministri|nessuna delle precedenti affermazioni è corretta|2|6
Ai sensi dell’art.107, comma 3, Cost., i magistrati si distinguono tra loro|soltanto per diversità di funzioni|in base all’organizzazione gerarchica|in uomini e donne|nessuna delle precedenti affermazioni è corretta|1|6
Ai sensi dell’art.112 Cost., il Pubblico Ministero|ha l’obbligo di esercitare l’azione penale solo nei confronti dei reati più gravi (c.d. crimini)|valuta discrezionalmente se e quando esercitare l’azione penale|esercita l’azione penale conformemente alle direttive emanate dal Ministro della Giustizia|nessuna delle precedenti affermazioni è corretta|4|6
L’elezione del Presidente della Repubblica ha luogo|con la maggioranza dei due terzi nei primi tre scrutini, successivamente è sufficiente la maggioranza assoluta|con la maggioranza semplice nei primi tre scrutini, successivamente è sufficiente la maggioranza assoluta|con la maggioranza assoluta nei primi tre scrutini, successivamente è sufficiente la maggioranza semplice|nessuna delle precedenti affermazioni è corretta|1|7
Il Presidente della Repubblica in Italia è eletto|dal Parlamento in seduta comune integrato dai delegati regionali|direttamente dal popolo|dal Consiglio dei Ministri|nessuna delle precedenti affermazioni è corretta|1|7
In caso di impedimento, le funzioni di Presidente della Repubblica sono esercitate|dal Vice-Presidente della Repubblica|dal Presidente del Senato|dal Presidente della Camera dei Deputati|nessuna delle precedenti affermazioni è corretta|2|7
Il Presidente della Repubblica|scioglie una o entrambe le camere|nomina il Presidente del Consiglio dei Ministri|nomina cinque giudici costituzionali|tutte le precedenti affermazioni sono corrette|4|7
Il presidente della Repubblica è irresponsabile|per gli atti compiuti nell’esercizio delle sue funzioni, eccetto i casi di alto tradimento e attentato alla Costituzione|anche per gli atti compiuti al di fuori dell’esercizio delle sue funzioni|nei soli casi di alto tradimento e attentato alla Costituzione|nessuna delle precedenti affermazioni è corretta|1|7
Il Presidente della Repubblica può rinviare una legge per motivi|di legittimità costituzionale|di merito politico|di mera opportunità|tutte le precedenti affermazioni sono corrette|1|7
Ѐ un atto sostanzialmente governativo|la promulgazione della legge|la nomina di cinque senatori a vita|la nomina di cinque giudici costituzionali|nessuna delle precedenti affermazioni è corretta|4|7
Tra gli atti del Presidente della Repubblica, sono di natura sostanzialmente presidenziale|la promulgazione della legge|la fissazione delle prime riunioni delle Camere|la nomina di cinque giudici costituzionali|tutte le precedenti affermazioni sono corrette|4|7
Il “semestre bianco” del Presidente della Repubblica consiste|negli ultimi sei mesi del suo mandato|negli ultimi sei mesi della legislatura|negli ultimi sei mesi del suo mandato se coincidenti con gli ultimi sei mesi della legislatura|nessuna delle precedenti affermazioni è corretta|1|7
Ѐ atto complesso eguale|la nomina del Presidente del Consiglio|lo scioglimento dei Consigli regionali|la rimozione del Presidente della Giunta|tutte le precedenti affermazioni sono corrette|4|7
Gli atti del Presidente della Repubblica sono esenti da controfirma quando|sostanzialmente presidenziali|sostanzialmente governativi|personali|tutte le precedenti affermazioni sono corrette|3|7
Gli atti del Presidente della Repubblica sono esenti da controfirma se|sostanzialmente presidenziali|sostanzialmente governativi|complessi eguali|nessuna delle precedenti affermazioni è corretta|4|7
Sono atti del Presidente della Repubblica esenti da controfirma|le dimissioni|le dichiarazioni di impedimento|gli atti adottati dal Presidente della Repubblica in qualità di Presidente del CSM|tutte le precedenti affermazioni sono corrette|4|7
Il Presidente della Repubblica, per gli atti compiuti al di fuori dell’esercizio delle sue funzioni, è|sempre irresponsabile|sempre responsabile in sede civile, penale e amministrativa|sempre irresponsabile, ma solo in sede penale|nessuna delle precedenti affermazioni è corretta|2|7
Il Presidente della Repubblica è irresponsabile|per gli atti che costituiscono esercizio delle funzioni presidenziali|per le dichiarazioni strumentali o accessorie rispetto all’esercizio delle funzioni presidenziali|quando sussiste un nesso funzionale tra la condotta posta in essere e l’esercizio delle sue funzioni|tutte le precedenti affermazioni sono corrette|4|7
